nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,KnowForTitleNames
nm0000001,Fred Astaire,1899,1987,"Actor,  Miscellaneous,  Producer","tt0072308,tt0050419,tt0053137,tt0027125","The Towering Inferno, Funny Face, On the Beach, Top Hat"
nm0000007,Humphrey Bogart,1899,1957,"Actor,  Producer,  Miscellaneous","tt0034583,tt0037382,tt0042593,tt0043265","Casablanca, To Have and Have Not, In a Lonely Place, The African Queen"
nm0000008,Marlon Brando,1924,2004,"Actor,  Director,  Writer","tt0078788,tt0068646,tt0047296,tt0070849","Apocalypse Now, The Godfather, On the Waterfront, Last Tango in Paris"
nm0000012,Bette Davis,1908,1989,"Actress,  Make Up Department,  Producer","tt0042192,tt0056687,tt0031210,tt0035140","All About Eve, What Ever Happened to Baby Jane?, Dark Victory, Now, Voyager"
nm0000013,Doris Day,1922,2019,"Actress,  Producer,  Miscellaneous","tt0048317,tt0045591,tt0053172,tt0049470","Love Me or Leave Me, Calamity Jane, Pillow Talk, The Man Who Knew Too Much"
nm0000022,Clark Gable,1901,1960,"Actor,  Producer,  Soundtrack","tt0025316,tt0031381,tt0026752,tt0055184","It Happened One Night, Gone with the Wind, Mutiny on the Bounty, The Misfits"
nm0000028,Rita Hayworth,1918,1987,"Actress,  Producer,  Soundtrack","tt0038559,tt0040525,tt0035103,tt0036723","Gilda, The Lady from Shanghai, My Gal Sal, Cover Girl"
nm0000031,Katharine Hepburn,1907,2003,"Actress,  Writer,  Soundtrack","tt0063227,tt0032904,tt0082846,tt0043265","The Lion in Winter, The Philadelphia Story, On Golden Pond, The African Queen"
nm0000032,Charlton Heston,1923,2008,"Actor,  Director,  Writer","tt0052618,tt0049833,tt0070723,tt0067525","Ben-Hur, The Ten Commandments, Soylent Green, The Omega Man"
nm0000034,William Holden,1918,1981,"Actor,  Miscellaneous,  Soundtrack","tt0046359,tt0047437,tt0043014,tt0074958","Stalag 17, Sabrina, Sunset Boulevard, Network"
nm0000044,Burt Lancaster,1913,1994,"Actor,  Producer,  Miscellaneous","tt0045793,tt0085859,tt0051036,tt0057091","From Here to Eternity, Local Hero, Sweet Smell of Success, The Leopard"
nm0000056,Paul Newman,1925,2008,"Actor,  Producer,  Director","tt0054997,tt0257044,tt0084855,tt0110684","The Hustler, Road to Perdition, The Verdict, Nobody's Fool"
nm0000061,Tyrone Power,1914,1958,"Actor,  Producer,  Soundtrack","tt0051201,tt0034405,tt0042256,tt0043959","Witness for the Prosecution, A Yank in the RAF, The Black Rose, Rawhide"
nm0000069,Frank Sinatra,1915,1998,"Music Artist,  Actor,  Producer","tt0045793,tt0056218,tt0049314,tt0052218","From Here to Eternity, The Manchurian Candidate, High Society, Some Came Running"
nm0000071,James Stewart,1908,1997,"Actor,  Director,  Producer","tt0052561,tt0052357,tt0038650,tt0032904","Anatomy of a Murder, Vertigo, It's a Wonderful Life, The Philadelphia Story"
nm0000075,Spencer Tracy,1900,1967,"Actor,  Soundtrack,  Archive Footage","tt0055031,tt0061735,tt0053946,tt0047849","Judgment at Nuremberg, Guess Who's Coming to Dinner, Inherit the Wind, Bad Day at Black Rock"
nm0000080,Orson Welles,1915,1985,"Actor,  Writer,  Director","tt0033467,tt0052311,tt0040525,tt0057427","Citizen Kane, Touch of Evil, The Lady from Shanghai, The Trial"
nm0000093,Brad Pitt,1963,\N,"Producer,  Actor,  Executive","tt0137523,tt0356910,tt0114746,tt1210166","Fight Club, Mr. & Mrs. Smith, 12 Monkeys, Moneyball"
nm0000095,Woody Allen,1935,\N,"Writer,  Director,  Actor","tt0079522,tt0075686,tt0118954,tt0091167","Manhattan, Annie Hall, Deconstructing Harry, Hannah and Her Sisters"
nm0000098,Jennifer Aniston,1969,\N,"Actress,  Producer,  Director","tt0108778,tt3442006,tt1723121,tt0279113","Friends, Cake, We're the Millers, The Good Girl"
nm0000099,Patricia Arquette,1968,\N,"Actress,  Producer,  Director","tt0108399,tt1065073,tt0412175,tt0145531","True Romance, Boyhood, Medium, Stigmata"
nm0000102,Kevin Bacon,1958,\N,"Actor,  Producer,  Director","tt0087277,tt0361127,tt0164052,tt0327056","Footloose, The Woodsman, Hollow Man, Mystic River"
nm0000106,Drew Barrymore,1975,\N,"Producer,  Actress,  Director","tt0160127,tt0151738,tt0343660,tt0120631","Charlie's Angels, Never Been Kissed, 50 First Dates, Ever After: A Cinderella Story"
nm0000107,Kim Basinger,1953,\N,"Actress,  Producer,  Soundtrack","tt0119488,tt0096895,tt0337921,tt0108525","L.A. Confidential, Batman, Cellular, Wayne's World 2"
nm0000112,Pierce Brosnan,1953,\N,"Actor,  Producer,  Executive","tt0143145,tt0795421,tt0120347,tt0155267","The World Is Not Enough, Mamma Mia!, Tomorrow Never Dies, The Thomas Crown Affair"
nm0000113,Sandra Bullock,1964,\N,"Producer,  Actress,  Music Department","tt1041829,tt0212346,tt0111257,tt1454468","The Proposal, Miss Congeniality, Speed, Gravity"
nm0000115,Nicolas Cage,1964,\N,"Actor,  Producer,  Director","tt0119094,tt0113627,tt0117500,tt0435705","Face/Off, Leaving Las Vegas, The Rock, Next"
nm0000119,Tia Carrere,\N,\N,"Actress,  Soundtrack,  Producer","tt0105793,tt0275847,tt0207919,tt0111503","Wayne's World, Lilo & Stitch, Relic Hunter, True Lies"
nm0000120,Jim Carrey,1962,\N,"Actor,  Writer,  Producer","tt0109040,tt0338013,tt0110475,tt0315327","Ace Ventura: Pet Detective, Eternal Sunshine of the Spotless Mind, The Mask, Bruce Almighty"
nm0000122,Charles Chaplin,1889,1977,"Writer,  Actor,  Director","tt0032553,tt0027977,tt0044837,tt0021749","The Great Dictator, Modern Times, Limelight, City Lights"
nm0000124,Jennifer Connelly,1970,\N,"Actress,  Producer,  Soundtrack","tt0268978,tt0315983,tt0286716,tt0180093","A Beautiful Mind, House of Sand and Fog, Hulk, Requiem for a Dream"
nm0000125,Sean Connery,1930,2020,"Actor,  Producer,  Director","tt0117500,tt0055928,tt0094226,tt0091605","The Rock, Dr. No, The Untouchables, The Name of the Rose"
nm0000129,Tom Cruise,1962,\N,"Actor,  Producer,  Director","tt0092099,tt0325710,tt0116695,tt0117060","Top Gun, The Last Samurai, Jerry Maguire, Mission: Impossible"
nm0000131,John Cusack,1966,\N,"Actor,  Producer,  Writer","tt0119229,tt0146882,tt0098258,tt0450385","Grosse Pointe Blank, High Fidelity, Say Anything, 1408"
nm0000134,Robert De Niro,1943,\N,"Actor,  Producer,  Director","tt0101540,tt0081398,tt0075314,tt0077416","Cape Fear, Raging Bull, Taxi Driver, The Deer Hunter"
nm0000139,Cameron Diaz,1972,\N,"Actress,  Producer,  Soundtrack","tt0259711,tt0129387,tt0160127,tt0119738","Vanilla Sky, There's Something About Mary, Charlie's Angels, My Best Friend's Wedding"
nm0000140,Michael Douglas,1944,\N,"Actor,  Producer,  Director","tt1291580,tt0094291,tt0088011,tt0093010","Behind the Candelabra, Wall Street, Romancing the Stone, Fatal Attraction"
nm0000142,Clint Eastwood,1930,\N,"Actor,  Producer,  Director","tt0405159,tt1205489,tt0186566,tt0105695","Million Dollar Baby, Gran Torino, Space Cowboys, Unforgiven"
nm0000148,Harrison Ford,1942,\N,"Actor,  Writer,  Producer","tt0082971,tt0076759,tt0106977,tt0090329","Raiders of the Lost Ark, Star Wars: Episode IV - A New Hope, The Fugitive, Witness"
nm0000150,Michael J. Fox,1961,\N,"Actor,  Producer,  Miscellaneous","tt0088763,tt0096874,tt0115369,tt0116365","Back to the Future, Back to the Future Part II, Spin City, The Frighteners"
nm0000151,Morgan Freeman,1937,\N,"Actor,  Producer,  Director","tt0097239,tt0114369,tt0405159,tt0468569","Driving Miss Daisy, Se7en, Million Dollar Baby, The Dark Knight"
nm0000152,Richard Gere,1949,\N,"Actor,  Producer,  Music Department","tt0299658,tt0100405,tt0084434,tt0119395","Chicago, Pretty Woman, An Officer and a Gentleman, The Jackal"
nm0000155,Whoopi Goldberg,1955,\N,"Actress,  Producer,  Writer","tt0099653,tt0105417,tt0088939,tt0108147","Ghost, Sister Act, The Color Purple, Sister Act 2: Back in the Habit"
nm0000156,Jeff Goldblum,1952,\N,"Actor,  Producer,  Writer","tt0107290,tt0091064,tt2278388,tt0116629","Jurassic Park, The Fly, The Grand Budapest Hotel, Independence Day"
nm0000158,Tom Hanks,1956,\N,"Producer,  Actor,  Writer","tt0162222,tt0094737,tt0109830,tt0107818","Cast Away, Big, Forrest Gump, Philadelphia"
nm0000163,Dustin Hoffman,1937,\N,"Actor,  Producer,  Director","tt0084805,tt0095953,tt0064665,tt0079417","Tootsie, Rain Man, Midnight Cowboy, Kramer vs. Kramer"
nm0000165,Ron Howard,1954,\N,"Producer,  Actor,  Writer","tt0367279,tt0075213,tt0268978,tt0112384","Arrested Development, The Shootist, A Beautiful Mind, Apollo 13"
nm0000167,Elizabeth Hurley,1965,\N,"Actress,  Producer,  Archive Footage","tt0118655,tt0230030,tt0145660,tt0105104","Austin Powers: International Man of Mystery, Bedazzled, Austin Powers: The Spy Who Shagged Me, Passenger 57"
nm0000168,Samuel L. Jackson,1948,\N,"Actor,  Producer,  Miscellaneous","tt0110912,tt3460252,tt4154664,tt2802144","Pulp Fiction, The Hateful Eight, Captain Marvel, Kingsman: The Secret Service"
nm0000171,Ashley Judd,1968,\N,"Actress,  Producer,  Director","tt0150377,tt0470705,tt0119468,tt0244970","Double Jeopardy, Bug, Kiss the Girls, Someone Like You"
nm0000173,Nicole Kidman,1967,\N,"Actress,  Producer,  Music Department","tt0203009,tt0274558,tt0935075,tt0159365","Moulin Rouge!, The Hours, Rabbit Hole, Cold Mountain"
nm0000178,Diane Lane,1965,\N,"Actress,  Soundtrack,  Archive Footage","tt0250797,tt0328589,tt0086066,tt2096673","Unfaithful, Under the Tuscan Sun, The Outsiders, Inside Out"
nm0000182,Jennifer Lopez,1969,\N,"Music Artist,  Producer,  Actress","tt5503686,tt2126357,tt0120780,tt0252076","Hustlers, Second Act, Out of Sight, Maid in Manhattan"
nm0000190,Matthew McConaughey,1969,\N,"Actor,  Producer,  Director","tt0816692,tt0790636,tt1915581,tt1935179","Interstellar, Dallas Buyers Club, Magic Mike, Mud"
nm0000194,Julianne Moore,1960,\N,"Actress,  Producer,  Soundtrack","tt0297884,tt0118749,tt2172584,tt0842926","Far from Heaven, Boogie Nights, Maps to the Stars, The Kids Are All Right"
nm0000196,Mike Myers,1963,\N,"Actor,  Writer,  Producer","tt0295178,tt0145660,tt0118655,tt0811138","Austin Powers in Goldmember, Austin Powers: The Spy Who Shagged Me, Austin Powers: International Man of Mystery, The Love Guru"
nm0000198,Gary Oldman,1958,\N,"Actor,  Producer,  Director","tt1340800,tt0468569,tt4555426,tt0103874","Tinker Tailor Soldier Spy, The Dark Knight, Darkest Hour, Bram Stoker's Dracula"
nm0000202,Ryan Phillippe,1974,\N,"Actor,  Producer,  Director","tt0375679,tt0280707,tt0139134,tt0120577","Crash, Gosford Park, Cruel Intentions, 54"
nm0000206,Keanu Reeves,1964,\N,"Actor,  Producer,  Miscellaneous","tt0133093,tt0111257,tt0102685,tt0113481","The Matrix, Speed, Point Break, Johnny Mnemonic"
nm0000212,Meg Ryan,1961,\N,"Actress,  Producer,  Director","tt0098635,tt0128853,tt0108160,tt0120632","When Harry Met Sally..., You've Got Mail, Sleepless in Seattle, City of Angels"
nm0000216,Arnold Schwarzenegger,1947,\N,"Actor,  Producer,  Writer","tt0103064,tt0216216,tt0088247,tt0107362","Terminator 2: Judgment Day, The 6th Day, The Terminator, Last Action Hero"
nm0000225,Christian Slater,1969,\N,"Actor,  Producer,  Director","tt0124198,tt0108399,tt0102798,tt0115759","Very Bad Things, True Romance, Robin Hood: Prince of Thieves, Broken Arrow"
nm0000226,Will Smith,1968,\N,"Producer,  Actor,  Writer","tt0098800,tt0119654,tt0480249,tt0116629","The Fresh Prince of Bel-Air, Men in Black, I Am Legend, Independence Day"
nm0000227,Mira Sorvino,1967,\N,"Actress,  Producer,  Soundtrack","tt0113819,tt0364343,tt0120008,tt0120032","Mighty Aphrodite, The Final Cut, The Replacement Killers, Romy and Michele's High School Reunion"
nm0000232,Sharon Stone,1958,\N,"Actress,  Producer,  Miscellaneous","tt0103772,tt0112641,tt0114214,tt0108162","Basic Instinct, Casino, The Quick and the Dead, Sliver"
nm0000234,Charlize Theron,1975,\N,"Producer,  Actress,  Costume Designer","tt0340855,tt1735898,tt1392190,tt5610554","Monster, Snow White and the Huntsman, Mad Max: Fury Road, Tully"
nm0000237,John Travolta,1954,\N,"Actor,  Producer,  Music Department","tt0110912,tt0113161,tt0076666,tt0077631","Pulp Fiction, Get Shorty, Saturday Night Fever, Grease"
nm0000244,Sigourney Weaver,1949,\N,"Actress,  Producer,  Soundtrack","tt0118583,tt0499549,tt0078748,tt0095243","Alien Resurrection, Avatar, Alien, Gorillas in the Mist"
nm0000245,Robin Williams,1951,2014,"Actor,  Writer,  Producer","tt0107614,tt0093105,tt0265459,tt0077053","Mrs. Doubtfire, Good Morning, Vietnam, One Hour Photo, Mork & Mindy"
nm0000260,Joan Allen,1956,\N,"Actress,  Producer,  Soundtrack","tt3170832,tt0115988,tt0452608,tt0113987","Room, The Crucible, Death Race, Nixon"
nm0000267,Julie Andrews,1935,\N,"Actress,  Writer,  Producer","tt0059742,tt0058331,tt0084865,tt0247638","The Sound of Music, Mary Poppins, Victor/Victoria, The Princess Diaries"
nm0000273,Alan Arkin,1934,2023,"Actor,  Director,  Writer","tt1024648,tt0449059,tt0104348,tt0099487","Argo, Little Miss Sunshine, Glengarry Glen Ross, Edward Scissorhands"
nm0000274,David Arquette,1971,\N,"Producer,  Actor,  Director","tt0134084,tt0151738,tt0120082,tt0271367","Scream 3, Never Been Kissed, Scream 2, Eight Legged Freaks"
nm0000285,Alec Baldwin,1958,\N,"Actor,  Producer,  Music Department","tt0407887,tt1230414,tt0318374,tt0104348","The Departed, It's Complicated, The Cooler, Glengarry Glen Ross"
nm0000291,Angela Bassett,1958,\N,"Actress,  Producer,  Director","tt1825683,tt0114558,tt9114286,tt0118884","Black Panther, Strange Days, Black Panther: Wakanda Forever, Contact"
nm0000298,Candice Bergen,1946,\N,"Actress,  Producer,  Soundtrack","tt0212346,tt0901476,tt0256415,tt0094514","Miss Congeniality, Bride Wars, Sweet Home Alabama, Murphy Brown"
nm0000301,Thora Birch,1982,\N,"Actress,  Producer,  Director","tt0162346,tt0169547,tt0107120,tt0114011","Ghost World, American Beauty, Hocus Pocus, Now and Then"
nm0000302,Jacqueline Bisset,1944,\N,"Actress,  Producer,  Soundtrack","tt0062765,tt0071877,tt0088322,tt0061452","Bullitt, Murder on the Orient Express, Under the Volcano, Casino Royale"
nm0000313,Jeff Bridges,1949,\N,"Actor,  Producer,  Art Department","tt0118715,tt1263670,tt1403865,tt0088172","The Big Lebowski, Crazy Heart, True Grit, Starman"
nm0000316,Mel Brooks,1926,\N,"Actor,  Writer,  Producer","tt0094012,tt0395251,tt0082517,tt0071230","Spaceballs, The Producers, History of the World: Part I, Blazing Saddles"
nm0000321,Gabriel Byrne,1950,\N,"Actor,  Producer,  Writer","tt0114814,tt0146675,tt0100150,tt0145531","The Usual Suspects, End of Days, Miller's Crossing, Stigmata"
nm0000325,David Caruso,1956,\N,"Actor,  Producer,  Archive Footage","tt0083944,tt0228750,tt0261983,tt0099939","First Blood, Proof of Life, Session 9, King of New York"
nm0000328,Richard Chamberlain,1934,\N,"Actor,  Producer,  Soundtrack","tt0072308,tt0076299,tt0085101,tt0073012","The Towering Inferno, The Last Wave, The Thorn Birds, The Four Musketeers: Milady's Revenge"
nm0000331,Chevy Chase,1943,\N,"Actor,  Writer,  Producer","tt0104850,tt0085995,tt0080487,tt0092086","Memoirs of an Invisible Man, Vacation, Caddyshack, Three Amigos!"
nm0000335,Glenn Close,1947,\N,"Actress,  Producer,  Director","tt0093010,tt3750872,tt2015381,tt0094947","Fatal Attraction, The Wife, Guardians of the Galaxy, Dangerous Liaisons"
nm0000346,Macaulay Culkin,1980,\N,"Actor,  Producer,  Director","tt0099785,tt0102492,tt0107034,tt0104431","Home Alone, My Girl, The Good Son, Home Alone 2: Lost in New York"
nm0000354,Matt Damon,1970,\N,"Producer,  Actor,  Writer","tt0119217,tt3659388,tt0407887,tt0134119","Good Will Hunting, The Martian, The Departed, The Talented Mr. Ripley"
nm0000362,Danny DeVito,1944,\N,"Actor,  Producer,  Director","tt0117008,tt0098621,tt0103776,tt0091877","Matilda, The War of the Roses, Batman Returns, Ruthless People"
nm0000369,Matt Dillon,1964,\N,"Actor,  Director,  Producer","tt0375679,tt0129387,tt0097240,tt4003440","Crash, There's Something About Mary, Drugstore Cowboy, The House That Jack Built"
nm0000377,Richard Dreyfuss,1947,\N,"Actor,  Producer,  Writer","tt0076095,tt0075860,tt0073195,tt0113862","The Goodbye Girl, Close Encounters of the Third Kind, Jaws, Mr. Holland's Opus"
nm0000378,Minnie Driver,1970,\N,"Actress,  Producer,  Soundtrack","tt0112679,tt0496343,tt0119217,tt5592146","Circle of Friends, The Riches, Good Will Hunting, Speechless"
nm0000398,Sally Field,1946,\N,"Actress,  Producer,  Director","tt0443272,tt0109830,tt0098384,tt0076729","Lincoln, Forrest Gump, Steel Magnolias, Smokey and the Bandit"
nm0000400,Linda Fiorentino,1958,\N,"Actress,  Soundtrack,  Archive Footage","tt0110308,tt0119654,tt0120655,tt0088680","The Last Seduction, Men in Black, Dogma, After Hours"
nm0000404,Jane Fonda,1937,\N,"Actress,  Producer,  Miscellaneous","tt0067309,tt0062711,tt0076245,tt0077362","Klute, Barbarella, Julia, Coming Home"
nm0000409,Brendan Fraser,1968,\N,"Actor,  Producer,  Art Department","tt0120616,tt0375679,tt0209163,tt13833688","The Mummy, Crash, The Mummy Returns, The Whale"
nm0000412,Andy Garcia,1956,\N,"Actor,  Producer,  Director","tt0240772,tt0099674,tt0349903,tt0343996","Ocean's Eleven, The Godfather Part III, Ocean's Twelve, The Lost City"
nm0000415,Jami Gertz,1965,\N,"Actress,  Producer,  Executive","tt0117998,tt0093437,tt0320970,tt0088128","Twister, The Lost Boys, Still Standing, Sixteen Candles"
nm0000418,Danny Glover,1946,\N,"Actor,  Producer,  Director","tt0093409,tt0122151,tt0097733,tt1190080","Lethal Weapon, Lethal Weapon 4, Lethal Weapon 2, 2012"
nm0000424,Hugh Grant,1960,\N,"Actor,  Soundtrack,  Archive Footage","tt0314331,tt0276751,tt0109831,tt0125439","Love Actually, About a Boy, Four Weddings and a Funeral, Notting Hill"
nm0000429,Melanie Griffith,1957,\N,"Actress,  Producer,  Archive Footage","tt0096463,tt0099165,tt0091983,tt0086984","Working Girl, The Bonfire of the Vanities, Something Wild, Body Double"
nm0000432,Gene Hackman,1930,\N,"Actor,  Producer,  Stunts","tt0067116,tt0095647,tt0265666,tt0105695","The French Connection, Mississippi Burning, The Royal Tenenbaums, Unforgiven"
nm0000435,Daryl Hannah,1960,\N,"Actress,  Producer,  Director","tt0094291,tt0378194,tt0088161,tt0083658","Wall Street, Kill Bill: Vol. 2, Splash, Blade Runner"
nm0000437,Woody Harrelson,1961,\N,"Actor,  Producer,  Director","tt2356777,tt0117318,tt0110632,tt5027774","True Detective, The People vs. Larry Flynt, Natural Born Killers, Three Billboards Outside Ebbing, Missouri"
nm0000438,Ed Harris,1950,\N,"Actor,  Producer,  Director","tt0800308,tt0183659,tt0120382,tt0112384","Appaloosa, Pollock, The Truman Show, Apollo 13"
nm0000439,Neil Patrick Harris,1973,\N,"Actor,  Producer,  Writer","tt4834206,tt0460649,tt2267998,tt0120201","A Series of Unfortunate Events, How I Met Your Mother, Gone Girl, Starship Troopers"
nm0000443,Goldie Hawn,1945,\N,"Actress,  Producer,  Director","tt0081375,tt0093693,tt0116313,tt0064117","Private Benjamin, Overboard, The First Wives Club, Cactus Flower"
nm0000450,Philip Seymour Hoffman,1967,2014,"Actor,  Producer,  Director","tt1560747,tt0379725,tt0292963,tt0472062","The Master, Capote, Before the Devil Knows You're Dead, Charlie Wilson's War"
nm0000452,Lauren Holly,1963,\N,"Actress,  Producer,  Writer","tt0109686,tt0103512,tt0106770,tt0207201","Dumb and Dumber, Picket Fences, Dragon: The Bruce Lee Story, What Women Want"
nm0000456,Holly Hunter,1958,\N,"Actress,  Producer,  Miscellaneous","tt0092699,tt0328538,tt0107822,tt3606756","Broadcast News, Thirteen, The Piano, Incredibles 2"
nm0000459,Timothy Hutton,1960,\N,"Actor,  Producer,  Director","tt0081283,tt1103987,tt0115639,tt0343737","Ordinary People, Leverage, Beautiful Girls, The Good Shepherd"
nm0000467,Don Johnson,1949,\N,"Actor,  Producer,  Director","tt0086759,tt1853728,tt0072730,tt8946378","Miami Vice, Django Unchained, A Boy and His Dog, Knives Out"
nm0000473,Diane Keaton,1946,\N,"Actress,  Producer,  Director","tt0075686,tt0337741,tt0356680,tt0082979","Annie Hall, Something's Gotta Give, The Family Stone, Reds"
nm0000493,Jack Lemmon,1925,2001,"Actor,  Producer,  Director","tt0053604,tt0104348,tt0053291,tt0107050","The Apartment, Glengarry Glen Ross, Some Like It Hot, Grumpy Old Men"
nm0000496,Juliette Lewis,1973,\N,"Actress,  Director,  Producer","tt0101540,tt1322269,tt0110632,tt0116367","Cape Fear, August: Osage County, Natural Born Killers, From Dusk Till Dawn"
nm0000507,Rob Lowe,1964,\N,"Actor,  Producer,  Writer","tt0090060,tt0086066,tt0105793,tt1291580","St. Elmo's Fire, The Outsiders, Wayne's World, Behind the Candelabra"
nm0000532,Malcolm McDowell,1943,\N,"Actor,  Producer,  Writer","tt0066921,tt0111280,tt0080025,tt0373883","A Clockwork Orange, Star Trek: Generations, Time After Time, Halloween"
nm0000537,Steve McQueen,1930,1980,"Actor,  Producer,  Stunts","tt0057115,tt0063688,tt0070511,tt0062765","The Great Escape, The Thomas Crown Affair, Papillon, Bullitt"
nm0000546,Matthew Modine,1959,\N,"Actor,  Producer,  Director","tt0093058,tt0112760,tt1345836,tt0108122","Full Metal Jacket, Cutthroat Island, The Dark Knight Rises, Short Cuts"
nm0000549,Roger Moore,1927,2017,"Actor,  Miscellaneous,  Producer","tt0079574,tt0076752,tt0082398,tt0086034","Moonraker, The Spy Who Loved Me, For Your Eyes Only, Octopussy"
nm0000552,Eddie Murphy,1961,\N,"Actor,  Writer,  Producer","tt0117218,tt0086960,tt0443489,tt0094898","The Nutty Professor, Beverly Hills Cop, Dreamgirls, Coming to America"
nm0000553,Liam Neeson,1952,\N,"Actor,  Producer,  Soundtrack","tt0362269,tt0108052,tt1601913,tt0429493","Kinsey, Schindler's List, The Grey, The A-Team"
nm0000554,Sam Neill,1947,\N,"Actor,  Producer,  Director","tt0107290,tt4698684,tt0104850,tt0163025","Jurassic Park, Hunt for the Wilderpeople, Memoirs of an Invisible Man, Jurassic Park III"
nm0000559,Leonard Nimoy,1931,2015,"Actor,  Producer,  Director","tt0092007,tt0102975,tt0796366,tt0088170","Star Trek IV: The Voyage Home, Star Trek VI: The Undiscovered Country, Star Trek, Star Trek III: The Search for Spock"
nm0000560,Nick Nolte,1941,\N,"Actor,  Producer,  Soundtrack","tt1291584,tt0118564,tt0102713,tt0120863","Warrior, Affliction, The Prince of Tides, The Thin Red Line"
nm0000562,Jeremy Northam,1961,\N,"Actor,  Soundtrack,  Archive Footage","tt0280707,tt0284978,tt0116191,tt0162360","Gosford Park, Cypher, Emma, Happy, Texas"
nm0000563,Chris O'Donnell,1970,\N,"Actor,  Producer,  Director","tt0118688,tt0105323,tt0108333,tt0190865","Batman & Robin, Scent of a Woman, The Three Musketeers, Vertical Limit"
